experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,openvr_position_offset_x,openvr_position_offset_y,openvr_position_offset_z,openvr_rotation_offset_x,openvr_rotation_offset_y,openvr_rotation_offset_z,openvr_scale_offset_x,openvr_scale_offset_y,openvr_scale_offset_z,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse 1,d3-016,1,1,1,1,947.8662,948.3774,0,0,0,359.7384,0,0.182779,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T001.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T001.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,2,1,2,952.4235,954.1186,0,0,0,359.7384,0,0.182779,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T002.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T002.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,3,1,3,958.1482,958.9882,0,0,0,359.7393,0,0.179633,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T003.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T003.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,4,1,4,963.042,964.4971,0,0,0,359.7393,0,0.179633,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T004.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T004.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,5,1,5,968.5396,970.1496,0,0,0,359.7393,0,0.179633,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T005.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T005.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,6,1,6,974.2032,974.8475,0,0,0,359.7393,0,0.179633,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T006.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T006.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,7,1,7,978.9008,981.3444,0,0,0,359.7393,0,0.179633,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T007.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T007.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,8,1,8,985.3979,988.4637,0,0,0,359.7393,0,0.177655,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T008.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T008.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,9,1,9,992.5168,994.7596,0,0,0,359.7393,0,0.177655,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T009.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T009.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,10,1,10,998.8027,999.3249,0,0,0,359.7387,0,0.175522,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T010.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T010.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,11,1,11,1003.378,1004.011,0,0,0,359.7387,0,0.175522,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T011.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T011.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,12,1,12,1008.054,1011.319,0,0,0,359.7386,0,0.173407,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T012.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T012.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,13,1,13,1015.373,1016.561,0,0,0,359.7386,0,0.173407,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T013.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T013.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,14,1,14,1020.611,1023.824,0,0,0,359.7386,0,0.173407,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T014.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T014.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,15,1,15,1027.862,1032.698,0,0,0,359.7392,0,0.167523,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T015.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T015.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,16,1,16,1037.485,1039.328,0,0,0,359.7418,0,0.166837,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T016.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T016.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,17,1,17,1043.371,1047.213,0,0,0,359.7418,0,0.166837,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T017.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T017.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,18,1,18,1052.233,1054.354,0,0,0,359.7418,0,0.166837,1,1,1,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_estimates_T018.csv,3_avatartooluse 1/d3-016/S001/trackers/landmark/landmark_gaze_data_T018.csv,,,,,,,,
3_avatartooluse 1,d3-016,1,19,2,1,1211.517,1221.645,0,0,0,0.865035,359.4,0.156842,1,1,1,,,3_avatartooluse 1/d3-016/S001/trackers/manual_reach/manual_reach_gaze_data_T019.csv,3_avatartooluse 1/d3-016/S001/trackers/manual_reach/manual_reach_vrpn_movement_T019.csv,3_avatartooluse 1/d3-016/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T019.csv,3_avatartooluse 1/d3-016/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T019.csv,,,,
3_avatartooluse 1,d3-016,1,20,2,2,1229.19,1234.613,0,0,0,0.864504,359.4,0.157825,1,1,1,,,3_avatartooluse 1/d3-016/S001/trackers/manual_reach/manual_reach_gaze_data_T020.csv,3_avatartooluse 1/d3-016/S001/trackers/manual_reach/manual_reach_vrpn_movement_T020.csv,3_avatartooluse 1/d3-016/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T020.csv,3_avatartooluse 1/d3-016/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T020.csv,,,,
3_avatartooluse 1,d3-016,1,21,2,3,1237.568,1242.61,0,0,0,0.864504,359.4,0.157825,1,1,1,,,3_avatartooluse 1/d3-016/S001/trackers/manual_reach/manual_reach_gaze_data_T021.csv,3_avatartooluse 1/d3-016/S001/trackers/manual_reach/manual_reach_vrpn_movement_T021.csv,3_avatartooluse 1/d3-016/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T021.csv,3_avatartooluse 1/d3-016/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T021.csv,,,,
