experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0
1_tooluseinVR,d1-013,1,1,1,1,884.4284,890.593,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T001.csv,,,,,
1_tooluseinVR,d1-013,1,2,1,2,893.5471,900.6334,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T002.csv,,,,,
1_tooluseinVR,d1-013,1,3,1,3,905.251,911.4945,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T003.csv,,,,,
1_tooluseinVR,d1-013,1,4,1,4,914.4502,921.1568,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T004.csv,,,,,
1_tooluseinVR,d1-013,1,5,1,5,924.1107,928.9198,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T005.csv,,,,,
1_tooluseinVR,d1-013,1,6,1,6,932.6511,937.8707,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T006.csv,,,,,
1_tooluseinVR,d1-013,1,7,1,7,941.7445,946.967,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T007.csv,,,,,
1_tooluseinVR,d1-013,1,8,1,8,949.9205,954.763,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T008.csv,,,,,
1_tooluseinVR,d1-013,1,9,1,9,957.7725,962.293,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T009.csv,,,,,
1_tooluseinVR,d1-013,1,10,1,10,966.757,971.0883,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T010.csv,,,,,
1_tooluseinVR,d1-013,1,11,1,11,974.0424,978.5727,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T011.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T011.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T011.csv,,,,,
1_tooluseinVR,d1-013,1,12,1,12,981.5275,986.0035,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T012.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T012.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T012.csv,,,,,
1_tooluseinVR,d1-013,1,13,1,13,988.957,993.422,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T013.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T013.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T013.csv,,,,,
1_tooluseinVR,d1-013,1,14,1,14,997.3185,1002.071,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T014.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T014.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T014.csv,,,,,
1_tooluseinVR,d1-013,1,15,1,15,1005.027,1016.212,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T015.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T015.csv,1_tooluseinVR/d1-013/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T015.csv,,,,,
